,COVID-19 Daily Update,,,,,,,,,,,,COVID-19 Weekly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Reported Risk Factors (percent),,,,,,,,,,,,By sex (percent),,By Age (count),,,,,,,,,,,,,,,,,,,,,,,,,,,By Race (count),,,,,,,,,,,,,,,,,,,,,,,,By Ethnicit (count),,,,,,,,,Underlying conditions in deaths (count),,,,,,,,,,
,,,,,,,,,,,,,,,,contact with confirmed,,congregate living,,health care worker,,patient care,,Out of home area,,Underlying conditions,,,,0-19,,,20-29,,,30-39,,,40-49,,,50-59,,,60-69,,,70-79,,,80+,,,not available,,,white,,,black,,,asian,,,native,,,islander,,,other,,,>1 race,,,not available,,,hispanic,,,non- hispanic,,,not available,,,diabeties,resptory,heart,former smoker,smoker,renal,liver,neuro,immuno,obesity,other
Date,Tests,Week Tests,Positive,% Positive,% Week,Positive Growth,Weekly Growth,Hospitalized,Dead,Newly Dead,Weekly Death,Total Tests,cases,deaths,hosp,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,M,F,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,,,,,,,,,,,
Wed March 4 2020,NA,,3,,,3,,N/A,N/A,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 5 2020,16,,3,0.00%,,0,,N/A,N/A,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 6 2020,19,,3,0.00%,,0,,N/A,N/A,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 7 2020,17,,7,23.53%,,4,,N/A,N/A,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun March 8 2020,30,,14,23.33%,,7,,N/A,N/A,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon March 9 2020,65,,14,0.00%,,0,,N/A,N/A,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue March 10 2020,49,196,15,2.04%,6.99%,1,15,N/A,N/A,,0,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed March 11 2020,77,,19,5.19%,,4,,N/A,N/A,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 12 2020,0,,19,,,0,,N/A,N/A,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 13 2020,62,,30,17.74%,,11,,N/A,N/A,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 14 2020,0,,30,,,0,,N/A,N/A,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun March 15 2020,89,,36,6.74%,,6,,N/A,N/A,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon March 16 2020,162,,39,1.85%,,3,,N/A,N/A,,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue March 17 2020,118,508,47,6.78%,5.47%,8,32,N/A,N/A,,0,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed March 18 2020,457,,75,6.13%,,28,,N/A,3,3,,"1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 19 2020,224,,88,5.80%,,13,,N/A,3,0,,"1,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 20 2020,700,,114,3.71%,,26,,N/A,3,0,,"2,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 21 2020,0,,114,,,0,,N/A,3,0,,"2,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
