105906,,1.3acre 1 day and 7day running graphs - John Hopkins Data Set,,,,,,COVID sim 15 july 2020,,,,,COVID sim v2 - 29 july 2020,,,,
,,,1-day,,,my 7-day,cumulative,,,,,,,,,,
real date,day of year,day,new,calc new,cumulative,new,deaths,phase,day,new,cumulative,deaths,phase,day,new,cumulative,deaths
3/4/2020,64,1,70,70,174,87,12,,,,,,start,0,,700,
3/5/2020,65,2,48,48,222,83,14,,,,,,,,,,
3/7/2020,67,3,115,115,337,101,17,,,,,,,,,,
3/8/2020,68,4,114,114,451,144,21,,,,,,,,,,
3/9/2020,69,5,68,68,519,198,22,,,,,,,,,,
3/10/2020,70,6,192,192,711,276,28,,,,,,,,,,
3/11/2020,71,7,398,398,1109,362,33,,,,,,,,,,
3/12/2020,72,8,452,452,1561,360,43,,,,,,,,,,
3/13/2020,73,9,596,596,2157,549,52,,,,,,,,,,
3/14/2020,74,10,713,713,2870,776,58,start,0,0,8000,0,,,,,
3/15/2020,75,11,98,98,2968,1115,70,,,,,,,,,,
3/16/2020,76,12,1392,1392,4360,1799,97,,,,,,,,,,
3/17/2020,77,13,1781,1781,6141,2475,131,,,,,,,,,,
3/18/2020,78,14,2776,2776,8917,3279,188,,,,,,,,,,
3/19/2020,79,15,5240,5240,14157,4399,265,,,,,,,,,,
3/20/2020,80,16,5322,5322,19479,5641,362,,,,,,,,,,
3/21/2020,81,17,6346,6346,25825,6853,456,,,,,,,,,,
3/22/2020,82,18,7936,7936,33761,8163,601,,,,,,restrict 1,17,11583,67450,850
3/23/2020,83,19,10089,10089,43850,9991,784,,,,,,,,,,
3/24/2020,84,20,10262,10262,54112,11828,1021,,,,,,,,,,
3/25/2020,85,21,11943,11943,66055,13749,1333,,,,,,,,,,
3/26/2020,86,22,18036,18036,84091,15349,1746,restrict,match,15933,94633,916,restrict 2,21,22366,143450,2183
3/27/2020,87,23,18185,18185,102276,16980,2300,,,,,,,,,,
3/28/2020,88,24,19793,19793,122069,19230,2934,,,,,,,,,,
3/29/2020,89,25,19136,19136,141205,21164,3561,,,,,,,,,,
3/30/2020,90,26,21502,21502,162707,22931,4381,,,,,,,,,,
3/31/2020,91,27,26017,26017,188724,24896,5605,restrict,17,,,,,,,,
4/1/2020,92,28,25481,25481,214205,26804,6846,,,,,,,,,,
4/2/2020,93,29,30405,30405,244610,28053,8432,stay at home,match,31983,227100,2383,,,,,
4/3/2020,94,30,31937,31937,276547,29215,9747,,,,,,restrict 3,29,28900,348800,10166
4/4/2020,95,31,33152,33152,309699,29895,11031,stay at home,21.5,,,,,,,,
4/5/2020,96,32,27874,27874,337573,30783,12470,,,,,,,,,,
4/6/2020,97,33,29642,29642,367215,31405,14138,,,,,,,,,,
4/7/2020,98,34,30777,30777,397992,31628,16447,,,,,,,,,,
4/8/2020,99,35,31694,31694,429686,31181,18563,,,,,,,,,,
4/9/2020,100,36,34756,34756,464442,31278,20638,,,,,,,,,,
4/10/2020,101,37,33501,33501,497943,30657,22731,,,,,,,,,,
4/11/2020,103,38,30026,30026,527969,30127,24777,,,,,,,,,,
4/12/2020,103,39,28553,28553,556522,29755,26548,,,,,,,,,,
4/13/2020,104,40,25291,25291,581813,29261,28376,,,,,,,,,,
4/14/2020,105,41,27065,27065,608878,29150,30780,,,,,,,,,,
4/15/2020,106,42,29096,29096,637974,28910,33329,,,,,,,,,,
4/16/2020,107,43,31298,31298,669272,28550,35442,,,,,,,,,,
4/17/2020,108,44,32724,32724,701996,28843,38056,,,,,,,,,,
4/18/2020,109,45,28341,28341,730337,28634,40442,,,,,,,,,,
4/19/2020,110,46,26038,26038,756375,28493,41671,,,,,,,,,,
4/20/2020,111,47,27341,27341,783716,28906,43466,,,,,,stay at home,46,31233,849316,47283
4/21/2020,112,48,25602,25602,809318,29416,45923,,,,,,,,,,
4/22/2020,113,49,28104,28104,837422,30070,48312,,,,,,,,,,
4/23/2020,114,50,34195,34195,871617,30306,50749,,,,,,,,,,
4/24/2020,115,51,36291,36291,907908,29610,52867,,,,,,,,,,
4/25/2020,116,52,32921,32921,940829,29457,54517,,,,,,,,,,
4/26/2020,117,53,27689,27689,968518,29374,55810,,,,,,,,,,
4/27/2020,118,54,22465,22465,990983,28721,57235,,,,,,,,,,
4/28/2020,119,55,24535,24535,1015518,28417,59454,,,,,,,,,,
4/29/2020,120,56,27520,27520,1043038,27885,61960,,,,,,,,,,
4/30/2020,121,57,29629,29629,1072667,27585,64256,,,,,,,,,,
5/1/2020,122,58,34162,34162,1106829,27715,66125,,,,,,,,,,
5/2/2020,123,59,29195,29195,1136024,27536,67681,,,,,,,,,,
5/3/2020,124,60,25587,25587,1161611,27213,68777,,,,,,,,,,
5/4/2020,124,61,22475,23375,1184986,26963,70086,,,,,,,,,,
5/5/2020,125,62,24185,23285,1208271,25965,72393,,,,,,,,,,
5/6/2020,127,63,25256,25256,1233527,25471,74851,,,,,,,,,,
5/7/2020,128,64,27882,27882,1261409,24639,76770,,,,,,,,,,
5/8/2020,129,65,27178,27178,1288587,23997,78497,,,,,,,,,,
5/9/2020,130,66,25733,25733,1314320,23840,79976,,,,,,,,,,
5/10/2020,131,67,19764,19764,1334084,23226,80855,,,,,,,,,,
5/11/2020,132,68,18878,18878,1352962,23188,81868,,,,,,,,,,
5/12/2020,133,69,22190,22190,1375152,22920,83483,,,,,,,,,,
5/13/2020,134,70,20958,20958,1396110,22830,85234,,,,,,,,,,
5/14/2020,135,71,27617,27617,1423727,22721,87008,,,,,,,,,,
5/15/2020,136,72,25300,25300,1449027,23134,88669,,,,,,,,,,
5/16/2020,137,73,25101,25101,1474128,22885,89892,,,,,,,,,,
5/17/2020,138,74,19004,19004,1493132,23292,90644,,,,,,,,,,
5/18/2020,139,75,21769,21769,1514901,22969,91414,,,,,,,,,,
5/19/2020,140,76,20449,20449,1535350,22804,92965,,,,,,,,,,
5/20/2020,141,77,23807,23807,1559157,22335,94533,,,,,,,,,,
5/21/2020,142,78,25355,25355,1584512,22594,95756,,,,,,,,,,
5/22/2020,143,79,24141,24141,1608653,22197,97025,,,,,,,,,,
5/23/2020,144,80,21823,21823,1630476,21973,98146,,,,,,,,,,
5/24/2020,145,81,20813,20813,1651289,21184,98754,,,,,,,,,,
5/25/2020,146,82,18991,18991,1670280,20821,99267,,,,,,,,,,
5/26/2020,147,83,18883,18883,1689163,20873,99952,,,,,,,,,,
5/27/2020,148,84,18282,18282,1707445,21248,101461,,,,,,,,,,
5/28/2020,149,85,22815,22815,1730260,21119,102643,ease 1,75,,,,,,,,
5/29/2020,150,86,24504,24504,1754764,20886,103809,,,,,,,,,,
5/30/2020,151,87,24450,24450,1779214,21173,104778,,,,,,,,,,
5/31/2020,152,88,19910,19910,1799124,21412,105364,,,,,,,,,,
6/1/2020,153,89,17355,17355,1816479,21203,106136,ease 1,match,19383,1811966,101400,,,,,
